FAIL,01_AM_BUCKETS_SHOULD_LOG,TRUE,If there are S3::Buckets - they certainly do not keep logs
PASS,02_AKM_NO_BUCKETS_STORING_OWN_LOGS,TRUE,All S3::Buckets declared in this template do not store their own logs
PASS,03_AKM_BUCKET_STORING_LOGS_NOT_PUBLIC,TRUE,No bucket that store logs and is public can be found
PASS,04_AKM_BUCKETS_ENCRYPTED,TRUE,All known S3::Buckets are indeed encrypted
PASS,05_AKM_BUCKET_NOT_PUBLIC_UNLESS_WEBSITE_OR_CORS,TRUE,No bucket that does not host a website or allow CORS and is public can be found
PASS,06_AKM_CRITICAL_LAMBDA_BUCKETS_ENCRYPTED_ROTATING,TRUE,All S3::Bucket declared in the template are encrypted and keep logs whenever they store lambda code
PASS,07_AKM_LOGS_STORED_ON_ENCRYPTED_BUCKETS,TRUE,All S3::Buckets known to store logs are encrypted
PASS,08_EM_ALARM_ACTION,TRUE,There are CloudWatch::Alarms that certainly perform an action when triggered,(apiconcordstackset_logingester_apigatewayerroralarm *** apiconcordstackset_logingester_apigatewaykinesislambdaerroralarm)
FAIL,09_EM_CONFIG_RECORDER,FALSE,There is no Config::ConfigurationRecorder that is recording changes of all resource types
FAIL,10_EM_GLOBAL_SERVICES_TRAIL,FALSE,There is no CloudTrail::Trail that logs events from global services
PASS,11_EKM_SECURITYGROUP_ALL_PORTS_TO_ALL,FALSE,If there are EC2::SecurityGroups - they certainly do not open all ports to all
FAIL,12_EKM_SHARED_BY_MULTIPLE_POLICIES,UNKNOWN\TRUE,There are IAM::Users - pointed by this template - that might be shared by two or more policies
PASS,13_EKM_QUEUE_CRITICAL_NOT_ENCRYPTED,FALSE,If there are SQS::Queues receiving notifications from a bucket - they certainly are encrypted
FAIL,14_AM_LAMBDA_FAILED_INPUT_TO_ENCRYPTED,TRUE,All Lambda::Functions send failed input to a non-encrypted resource or do not send it at all
PASS,15_AKM_IAM_POLICIES_MUST_BE_ATTACHED_TO_SOMETHING,TRUE,All IAM::Policys are attached to something
PASS,16_AKM_VPC_NO_DEFAULT_SECURITYGROUP,TRUE,All VPC::EC2 are associated with a security group
PASS,17_AKM_KEYS_ENABLED,TRUE,All KMS::Keys are enabled
FAIL,18_EM_KEY_FOR_REPLICA,FALSE,There is no KMS::Key used to encrypt buckets replicas
FAIL,19_EM_KEY_ENCR_FUNCTION,FALSE,There is no KMS::Key used to encrypt a Lambda::Function
PASS,20_EM_SECURITYGROUP_OPENTOALL,TRUE,There is at least one EC2::SecurityGroup that is certainly not open to all IPs,(apiconcordstackset_logingester_dbvpcsecuritygroup *** apiconcordstackset_logingester_kinesistordslambdafunctionsecuritygroup)
FAIL,21_EM_LAMBDA_TRIGGERED_BUCKET,FALSE,There is no Lambda::Function triggered by a bucket
