FAIL,01_AM_BUCKETS_SHOULD_LOG,TRUE,If there are S3::Buckets - they might not keep logs
PASS,02_AKM_NO_BUCKETS_STORING_OWN_LOGS,TRUE,All S3::Buckets declared in this template do not store their own logs.
PASS,03_AKM_BUCKET_STORING_LOGS_NOT_PUBLIC,TRUE,No bucket that store logs and is public can be found
FAIL,04_AKM_BUCKETS_ENCRYPTED,FALSE,There are S3::Buckets - declared in this template - that are not encrypted.,(lamction_lambdafunction_s3bukcet)
FAIL,05_AKM_BUCKET_NOT_PUBLIC_UNLESS_WEBSITE_OR_CORS,UNKNOWN\FALSE,None of the buckets declared in the template break this property - but there are buckets pointed by it for which the information is unknown.
FAIL,06_AKM_CRITICAL_LAMBDA_BUCKETS_ENCRYPTED_ROTATING,UNKNOWN\FALSE,None of the S3::Buckets declared in the template breaks this property - but there are buckets pointed by the template for which this information is not known.
PASS,07_AKM_LOGS_STORED_ON_ENCRYPTED_BUCKETS,TRUE,All S3::Buckets known to store logs are encrypted
FAIL,08_EM_ALARM_ACTION,FALSE,There is no CloudWatch::Alarm that performs an action when triggered
FAIL,09_EM_CONFIG_RECORDER,FALSE,There is no Config::ConfigurationRecorder that is recording changes of all resource types
FAIL,10_EM_GLOBAL_SERVICES_TRAIL,FALSE,There is no CloudTrail::Trail that logs events from global services
PASS,11_EKM_SECURITYGROUP_ALL_PORTS_TO_ALL,FALSE,If there are EC2::SecurityGroups - they certainly do not open all ports to all
PASS,12_EKM_SHARED_BY_MULTIPLE_POLICIES,FALSE,If there are IAM::Users - they are certainly not shared by two or more policies
PASS,13_EKM_QUEUE_CRITICAL_NOT_ENCRYPTED,FALSE,If there are SQS::Queues receiving notifications from a bucket - they certainly are encrypted
FAIL,14_AM_LAMBDA_FAILED_INPUT_TO_ENCRYPTED,TRUE,All Lambda::Functions send failed input to a non-encrypted resource or do not send it at all.
PASS,15_AKM_IAM_POLICIES_MUST_BE_ATTACHED_TO_SOMETHING,TRUE,All IAM::Policys are attached to something
PASS,16_AKM_VPC_NO_DEFAULT_SECURITYGROUP,TRUE,All VPC::EC2 are associated with a security group
PASS,17_AKM_KEYS_ENABLED,TRUE,All KMS::Keys are enabled
FAIL,18_EM_KEY_FOR_REPLICA,FALSE,There is no KMS::Key used to encrypt buckets replicas
FAIL,19_EM_KEY_ENCR_FUNCTION,FALSE,There is no KMS::Key used to encrypt a Lambda::Function
FAIL,20_EM_SECURITYGROUP_OPENTOALL,FALSE,If there are EC2::SecurityGroups, they must be open to all IPs
PASS,21_EM_LAMBDA_TRIGGERED_BUCKET,TRUE,There is a Lambda::Function that is triggered by a bucket,(lamction_lambdafunction_lambdafunction)
PASS,22_EKM_TRAIL_CARRYING_NOTHING,FALSE,If there are CloudTrail::Trails - they all certainly carry logs about data events
PASS,23_EKM_TRAIL_NO_LOGFILE_VALIDATION,FALSE,If there are CloudTrail::Trails - they all certainly have log file validation enabled
PASS,24_AKM_TRAIL_LOG,TRUE,If there are CloudTrail::Trails - they all certainly keep logs
